"annotatorid","age","sex","reading","editing","vandalizing","noticing"
1,23,"male","daily","less","no","weekly"
2,23,"male","daily","less","no","less"
3,26,"male","daily","less","yes","monthly"
4,30,"male","daily","never","no","never"
5,27,"male","weekly","never","no","never"
6,35,"male","daily","never","no","less"
7,30,"female","weekly","less","no","monthly"
9,22,"male","daily","monthly","no","weekly"
12,25,"male","weekly","less","no","never"
14,50,"male","daily","daily","yes","daily"
15,43,"female","daily","less","no","less"
17,28,"male","weekly","monthly","no","monthly"
18,24,"male","daily","never","no","monthly"
19,22,"female","daily","never","no","less"
20,22,"male","daily","never","no","daily"
21,21,"male","weekly","never","no","less"
22,26,"male","daily","daily","no","less"
23,23,"male","weekly","less","no","monthly"
24,24,"male","daily","never","no","monthly"
25,37,"female","monthly","never","no","less"
26,21,"male","daily","less","no","less"
27,20,"male","daily","never","no","monthly"
28,29,"female","weekly","less","no","less"
30,,"male","weekly","never","no","less"
31,27,,"daily","never","no","less"
32,20,"male","daily","never","no","weekly"
33,27,"male","monthly","never","no","less"
34,22,"male","daily","monthly","no","daily"
35,29,"male","weekly","never","no","never"
37,31,"female","daily","never","no","weekly"
38,34,"male","daily","monthly","no","less"
39,27,"male","daily","monthly","no","weekly"
40,37,"female","monthly","never","no","never"
41,21,"female","daily","daily","no","daily"
43,20,"female","weekly","never","no","monthly"
44,46,"male","daily","less","no","monthly"
45,32,"female","weekly","less","no","never"
46,22,"female","daily","never","no","never"
47,25,"female","weekly","never","no","never"
48,20,"female","weekly","less","no","less"
49,20,"male","monthly","never","no","never"
50,32,"female","weekly","never","no","less"
51,47,"male","monthly","monthly","no","less"
52,23,"male","daily","less","no","less"
53,28,"male","daily","monthly","no","weekly"
54,39,"male","daily","monthly","no","monthly"
55,21,"male","weekly","never","no","never"
57,24,"male","weekly","never","no","less"
59,23,"female","daily","less","no","less"
60,,,"weekly","less","no","less"
61,40,"female","monthly","less","no","less"
62,19,"male","weekly","less","no","monthly"
