"editid","class","annotators","totalannotators"
1,"regular",3,3
2,"regular",10,18
3,"regular",3,3
4,"regular",3,3
5,"regular",5,6
6,"regular",3,3
8,"regular",3,3
10,"regular",3,3
11,"regular",4,4
12,"regular",3,4
13,"regular",4,4
14,"regular",3,4
16,"regular",3,3
17,"regular",3,3
18,"regular",3,3
20,"regular",3,3
21,"regular",5,6
22,"regular",11,15
23,"regular",3,3
24,"regular",3,3
30,"regular",4,4
31,"regular",4,4
32,"regular",4,4
33,"regular",4,4
35,"regular",4,4
36,"regular",4,4
37,"vandalism",6,7
38,"regular",4,4
44,"regular",3,3
45,"regular",3,3
46,"regular",3,3
47,"regular",3,3
48,"regular",3,3
49,"regular",3,3
50,"regular",3,3
51,"regular",3,3
58,"regular",4,4
60,"regular",6,7
61,"regular",5,6
62,"vandalism",5,7
63,"regular",4,4
64,"regular",4,4
65,"regular",6,6
66,"regular",6,6
67,"regular",4,4
71,"regular",4,4
72,"regular",6,7
73,"regular",4,4
76,"regular",6,7
77,"regular",6,7
78,"regular",4,4
79,"regular",4,4
80,"regular",4,4
81,"regular",4,4
82,"regular",4,4
83,"regular",3,4
84,"regular",4,4
85,"regular",3,3
86,"regular",7,9
88,"regular",3,3
89,"regular",3,3
90,"regular",3,3
91,"regular",5,6
93,"regular",3,3
94,"regular",5,6
100,"regular",3,3
101,"regular",3,3
102,"regular",3,3
103,"regular",3,3
104,"regular",3,3
105,"regular",5,5
107,"regular",3,3
108,"regular",3,3
109,"regular",4,4
110,"regular",4,4
111,"regular",4,4
112,"regular",3,4
113,"regular",3,3
114,"regular",3,3
115,"regular",3,3
116,"regular",5,6
118,"regular",3,3
121,"regular",3,3
122,"regular",3,3
127,"regular",3,3
128,"regular",3,3
129,"regular",3,3
130,"regular",3,3
132,"regular",3,3
133,"regular",3,3
135,"regular",5,6
136,"regular",3,3
143,"regular",3,3
144,"regular",3,3
145,"regular",3,3
146,"regular",3,3
147,"regular",3,3
148,"regular",3,3
149,"regular",3,3
150,"regular",7,7
155,"regular",5,6
156,"regular",5,6
157,"regular",3,3
159,"regular",5,6
160,"regular",5,6
162,"regular",3,3
163,"regular",6,6
164,"regular",3,3
169,"regular",3,3
170,"regular",3,3
171,"regular",3,3
172,"regular",3,3
173,"regular",3,3
174,"regular",5,6
177,"regular",3,3
178,"vandalism",8,9
179,"regular",4,4
180,"regular",4,4
181,"regular",4,4
182,"regular",4,4
183,"regular",4,4
184,"regular",4,4
185,"regular",4,4
187,"regular",4,4
188,"regular",4,4
189,"regular",4,4
190,"regular",4,4
192,"regular",4,4
198,"regular",3,3
199,"regular",3,3
200,"regular",3,3
201,"regular",7,9
202,"regular",3,3
203,"regular",3,3
204,"regular",3,3
206,"regular",6,6
211,"regular",3,3
212,"regular",3,3
213,"regular",3,3
214,"vandalism",12,18
216,"regular",3,3
218,"regular",3,3
219,"regular",3,3
220,"regular",3,3
225,"regular",4,4
227,"regular",4,4
228,"vandalism",9,13
229,"regular",4,4
230,"regular",5,7
231,"regular",4,4
233,"regular",4,4
234,"regular",4,4
235,"regular",4,4
240,"regular",8,11
241,"regular",5,5
242,"regular",5,5
243,"regular",5,5
244,"regular",5,5
245,"regular",5,5
247,"regular",5,5
248,"regular",6,8
249,"regular",4,4
250,"regular",4,4
251,"regular",4,4
252,"regular",5,5
253,"regular",3,3
255,"regular",3,3
256,"regular",3,3
258,"regular",3,3
259,"regular",3,3
260,"regular",5,6
262,"regular",3,3
267,"regular",3,3
270,"regular",3,3
271,"regular",5,6
272,"regular",3,3
273,"regular",3,3
274,"regular",3,3
275,"regular",3,3
276,"regular",7,7
281,"regular",3,3
282,"regular",3,3
283,"regular",3,3
285,"regular",3,3
286,"regular",3,3
288,"vandalism",13,18
295,"regular",3,3
296,"regular",6,6
297,"regular",3,3
298,"vandalism",5,6
299,"regular",3,3
303,"regular",3,3
304,"regular",3,3
305,"regular",4,4
310,"regular",3,3
312,"regular",3,3
314,"regular",3,3
315,"regular",3,3
316,"regular",3,3
317,"regular",3,3
318,"regular",3,3
319,"regular",7,10
320,"regular",4,4
321,"regular",5,5
322,"regular",4,4
324,"regular",3,3
326,"regular",3,3
327,"regular",3,3
328,"vandalism",12,12
329,"regular",3,3
330,"regular",3,3
331,"regular",3,3
332,"regular",3,3
333,"regular",4,4
334,"regular",4,4
336,"regular",4,4
337,"regular",9,10
338,"regular",6,8
339,"regular",5,5
340,"vandalism",14,14
342,"regular",7,8
343,"regular",5,5
344,"regular",5,5
345,"regular",5,5
351,"regular",4,4
352,"vandalism",5,7
353,"regular",4,4
355,"vandalism",13,13
356,"regular",4,4
357,"regular",4,4
358,"regular",4,4
359,"regular",4,4
365,"regular",5,6
